Company_ID,Company_Name,Industry,Headquarters_City,Country,Ownership_Type,Customer_Segment,Primary_Cloud,Risk_Rating,Year_Founded,Incorporation_Date,Last_Funding_Date,Employees,Annual_Revenue,Profit_Margin,Market_Share,Product_Lines,R&D_Spending,Average_Salary,Training_Hours_Per_Employee,Employee_Satisfaction,Adoption_Rate_AI,Adoption_Rate_Cloud,Adoption_Rate_Blockchain,CEO_Tenure_Years
807869.0,Neo Soft 760,HealthTech,Pune,Australia,Private,SME,Azure,Medium,2023.0,2023-07-15,2025-07-24,44377.0,235577861.39,17.16,33.16,16.0,3959494.45,3223371.94,90.7,3.99,27.47,78.25,24.77,5.0
985270.0,Next Analytics 229,Gaming,Noida,UAE,Startup,B2B2C,GCP,Low,2013.0,2013-09-17,2023-02-25,3418.0,56916043.87,3.39,11.87,1.0,4483284.44,3440809.32,77.9,3.01,68.36,33.88,53.1,13.0
615066.0,Innova Works 693,Cybersecurity,Chennai,Germany,Startup,B2B,IBM Cloud,Medium,1999.0,1999-02-01,2004-01-08,3847.0,166534603.43,6.08,25.4,22.0,26299168.52,3411320.38,93.8,3.11,71.59,62.58,53.26,16.0
756196.0,Secure Labs 605,Cybersecurity,Noida,UK,Public,SME,GCP,Low,1992.0,1992-06-18,1997-03-05,47932.0,246926404.64,26.06,18.9,2.0,9575493.89,2329426.44,42.3,3.51,61.48,74.21,22.9,1.0
292453.0,Logic Systems 31,Cloud Services,,UAE,Private,B2B2C,AWS,Medium,2005.0,2005-10-20,,13768.0,125382007.43,36.95,2.22,3.0,30870883.91,1266740.76,90.2,4.94,13.24,93.77,36.81,13.0
556753.0,Data Dynamics 239,Enterprise Software,Delhi,Australia,Startup,B2B2C,GCP,Medium,2023.0,2023-06-28,2025-01-29,34610.0,191408990.76,6.79,24.18,21.0,11984003.65,2600178.51,104.2,4.9,67.95,88.47,15.48,22.0
146801.0,Pixel Soft 575,Cloud Services,Noida,India,Startup,B2C,IBM Cloud,Medium,2003.0,2003-01-10,2013-04-12,11103.0,153936124.91,20.04,24.18,20.0,17529799.96,4327726.42,44.7,3.31,10.96,55.85,16.83,11.0
434129.0,Cyber Services 430,,Hyderabad,UK,Private,SME,Multi-Cloud,Medium,2007.0,2007-07-25,2009-11-24,22166.0,211119386.24,38.44,32.58,17.0,7921390.98,2812955.29,44.1,2.87,60.44,78.94,1.84,21.0
924528.0,Blue Stack 604,Cloud Services,Kolkata,Australia,Public,B2B2C,GCP,High,1995.0,1995-12-18,2006-11-21,36294.0,223618561.91,34.57,17.46,20.0,6981546.15,445293.3,108.5,2.98,73.78,60.03,71.74,8.0
975998.0,Next Soft 778,Gaming,Ahmedabad,Australia,Private,Enterprise,Azure,Medium,1995.0,1995-10-17,2003-08-10,36235.0,190969902.13,22.79,8.14,22.0,22580625.95,644814.71,10.7,2.88,24.62,59.19,16.86,8.0
